"orig_dest_year","orig_dest","orig","dest","year","totalrefugees","ref_lag","ethnic_link","contig","dist","gdp_o","gdp_d","pop_o","pop_d","gdpcap_o","gdpcap_d","comlang_off","comlang_ethno","comcol","comrelig","political_terror_o","state_fragility_o","conflict_intensity_o","change_restrict","gdp_o_lag","gdp_d_lag","gdpcap_o_lag","gdpcap_d_lag","state_fragility_o_lag","conflict_intensity_o_lag","political_terror_o_lag"
"USA_CAN_1989","USA_CAN","USA","CAN","1989",5.7509840761405,6.74324908205818,0,1,6.94312242281943,22.4562832529796,20.1499251622792,12.4164146050072,10.2175680988424,3.17479853762727,3.07209128165274,1,1,0,0.269,0.693147180559945,0,0.693147180559945,0.6,23.0846715790297,20.6755566046224,3.63581155973906,3.43548473853507,0.713766467762681,0.693147180559945,1.08462604669337
"CUB_USA_1989","CUB_USA","CUB","USA","1989",8.94494150776486,9.48934112054475,1,1,7.52994337060159,17.1122804016466,22.4562832529796,9.2595969035699,12.4164146050072,1.27340557904127,3.17479853762727,0,1,0,0.099,1.38629436111989,1.94591014905531,1.38629436111989,-1,17.4836822449265,23.0846715790297,1.50811552883159,3.63581155973906,2.14006616349627,1.65822807660353,1.35454566280531
"HTI_USA_1989","HTI_USA","HTI","USA","1989",3.2188758248682,9.20350875620489,0,0,7.91242312147371,14.7370677464789,22.4562832529796,8.84885573713862,12.4164146050072,0.308219723669329,3.17479853762727,0,0,0,0.304,1.38629436111989,2.30258509299405,1.79175946922805,-1,15.2299979068249,23.0846715790297,0.381769914596629,3.63581155973906,2.81839825827108,2.04769284336526,1.44691898293633
"MEX_USA_1989","MEX_USA","MEX","USA","1989",2.83321334405622,6.41079146815362,0,1,7.67508185771633,19.2225794074286,22.4562832529796,11.342468287258,12.4164146050072,1.29308197939771,3.17479853762727,0,1,0,0.289,1.38629436111989,2.484906649788,1.79175946922805,-1,20.3431488551374,23.0846715790297,1.99888655003349,3.63581155973906,2.10006082888257,1.77070606003022,1.50407739677627
"GTM_MEX_1989","GTM_MEX","GTM","MEX","1989",10.6535111627378,9.89109018847116,1,1,7.0647590277918,15.9450182769814,19.2225794074286,9.06984075758791,11.342468287258,0.677017798630062,1.29308197939771,1,1,0,0.891,1.6094379124341,3.2188758248682,2.19722457733622,-1,16.9630488978004,20.3431488551374,1.06535707979205,1.99888655003349,2.85503239145086,2.02595285672885,1.46633706879343
"HND_MEX_1989","HND_MEX","HND","MEX","1989",4.68213122712422,4.27028003054953,1,0,7.28824440102012,15.0862395438501,19.2225794074286,8.46967402918153,11.342468287258,0.558472277233344,1.29308197939771,1,1,0,0.908,1.38629436111989,2.39789527279837,1.94591014905531,-1,15.9147499043796,20.3431488551374,0.79427374568571,1.99888655003349,2.37102225454727,1.74919985480926,1.32175583998232
"SLV_MEX_1989","SLV_MEX","SLV","MEX","1989",8.2553088117856,7.57291013806198,1,0,7.21597500265147,15.2907806000649,19.2225794074286,8.56985736571839,11.342468287258,0.60431596685333,1.29308197939771,1,1,0,0.911,1.6094379124341,2.39789527279837,1.79175946922805,-1,16.4341131988575,20.3431488551374,1.18902412752836,1.99888655003349,2.28153168379621,1.71978596960297,1.28785428830664
"SLV_GTM_1989","SLV_GTM","SLV","GTM","1989",7.60389796852188,6.57901970373265,0,1,5.18178355029209,15.2907806000649,15.9450182769814,8.56985736571839,9.06984075758791,0.60431596685333,0.677017798630062,1,1,0,0.905,1.6094379124341,2.83321334405622,1.94591014905531,-1,16.4341131988575,16.9630488978004,1.18902412752836,1.06535707979205,2.31911439494526,1.5668782980153,1.28785428830664
"SLV_HND_1989","SLV_HND","SLV","HND","1989",9.60514889989582,6.67923270328747,1,1,5.41610040220442,15.2907806000649,15.0862395438501,8.56985736571839,8.46967402918153,0.60431596685333,0.558472277233344,1,1,0,0.922,1.6094379124341,2.94443897916644,2.39789527279837,-1,16.4341131988575,15.9147499043796,1.18902412752836,0.79427374568571,2.30674310314271,1.5493339883644,1.28785428830664
"SLV_NIC_1989","SLV_NIC","SLV","NIC","1989",8.866581653304,7.31947854170492,0,0,5.89440283426485,15.2907806000649,13.8286101504259,8.56985736571839,8.30563798511286,0.60431596685333,0.22314355131421,1,1,0,0.912,1.6094379124341,2.56494935746154,1.6094379124341,-1,16.4341131988575,15.4812280557224,1.18902412752836,0.690497840823327,2.34739910878384,1.5668782980153,1.28785428830664
