"year","orig_dest","orig","dest","contig","dist","gdp_o","gdp_d","pop_o","pop_d","gdpcap_o","gdpcap_d","comlang_off","comlang_ethno","comcol","comrelig"
1948,"AFG_ARE","AFG","ARE",0,1458,NA,NA,NA,NA,NA,NA,0,0,0,0.942
1949,"AFG_ARE","AFG","ARE",0,1458,NA,NA,NA,NA,NA,NA,0,0,0,0.942
1950,"AFG_ARE","AFG","ARE",0,1458,NA,NA,8150.368,71.52,NA,NA,0,0,0,0.942
1951,"AFG_ARE","AFG","ARE",0,1458,NA,NA,8284.472,73.298,NA,NA,0,0,0,0.942
1952,"AFG_ARE","AFG","ARE",0,1458,NA,NA,8425.333,75.273,NA,NA,0,0,0,0.942
1953,"AFG_ARE","AFG","ARE",0,1458,NA,NA,8573.216,77.48,NA,NA,0,0,0,0.942
1954,"AFG_ARE","AFG","ARE",0,1458,NA,NA,8728.408,79.947,NA,NA,0,0,0,0.942
1955,"AFG_ARE","AFG","ARE",0,1487,NA,NA,8891.209,82.715,NA,NA,0,0,0,0.942
1956,"AFG_ARE","AFG","ARE",0,1487,1110000,NA,9061.938,85.831,0.122,NA,0,0,0,0.942
1957,"AFG_ARE","AFG","ARE",0,1487,1140000,NA,9240.933,89.353,0.123,NA,0,0,0,0.942
1958,"AFG_ARE","AFG","ARE",0,1487,1170000,NA,9428.555,93.34,0.124,NA,0,0,0,0.942
1959,"AFG_ARE","AFG","ARE",0,1487,1204999.936,NA,9624.606,97.87,0.125,NA,0,0,0,0.942
1960,"AFG_ARE","AFG","ARE",0,1516,537777.792,NA,8774.44,89.608,0.061,NA,0,0,0,0.942
1961,"AFG_ARE","AFG","ARE",0,1516,548888.896,NA,8953.544,97.727,0.061,NA,0,0,0,0.942
1962,"AFG_ARE","AFG","ARE",0,1516,546666.688,NA,9141.783,108.774,0.06,NA,0,0,0,0.942
1963,"AFG_ARE","AFG","ARE",0,1516,751111.168,NA,9339.507,121.574,0.08,NA,0,0,0,0.942
1964,"AFG_ARE","AFG","ARE",0,1516,800000.064,NA,9547.131,134.411,0.084,NA,0,0,0,0.942
1965,"AFG_ARE","AFG","ARE",0,1545,1006666.624,NA,9765.015,146.341,0.103,NA,0,0,0,0.942
1966,"AFG_ARE","AFG","ARE",0,1545,1400000,NA,9990.125,156.89,0.14,NA,0,0,0,0.942
1967,"AFG_ARE","AFG","ARE",0,1545,1673333.376,NA,10221.902,167.36,0.164,NA,0,0,0,0.942
1968,"AFG_ARE","AFG","ARE",0,1545,1373333.376,NA,10465.77,180.762,0.131,NA,0,0,0,0.942
1969,"AFG_ARE","AFG","ARE",0,1545,1408888.96,NA,10729.191,201.157,0.131,NA,0,0,0,0.942
1970,"AFG_ARE","AFG","ARE",0,1560,1748886.656,NA,11015.621,231.529,0.159,NA,0,0,0,0.942
1971,"AFG_ARE","AFG","ARE",0,1560,1831108.992,NA,11323.446,272.211,0.162,NA,0,0,0,0.942
1972,"AFG_ARE","AFG","ARE",0,1560,1595555.456,4788600.32,11644.377,322.439,0.137,14.851,0,0,0,0.942
1973,"AFG_ARE","AFG","ARE",0,1560,1733333.248,2852629.76,11966.352,382.599,0.145,7.456,0,0,0,0.942
1974,"AFG_ARE","AFG","ARE",0,1560,2155555.584,7855320.064,12273.589,452.848,0.176,17.346,0,0,0,0.942
1975,"AFG_ARE","AFG","ARE",0,1573,2366666.496,14720672.768,12551.79,532.742,0.189,27.632,0,0,0,0.942
1976,"AFG_ARE","AFG","ARE",0,1573,2555555.584,19213023.232,12806.81,623.45,0.2,30.817,0,0,0,0.942
1977,"AFG_ARE","AFG","ARE",0,1573,2953333.504,24871774.208,13034.46,723.617,0.227,34.371,0,0,0,0.942
1978,"AFG_ARE","AFG","ARE",0,1573,3300000,23775832.064,13199.597,827.191,0.25,28.743,0,0,0,0.942
1979,"AFG_ARE","AFG","ARE",0,1573,3697940.224,31225462.784,13257.128,926.112,0.279,33.717,0,0,0,0.942
1980,"AFG_ARE","AFG","ARE",0,1593,3641723.392,43598745.6,13180.431,1014.825,0.276,42.962,0,0,0,0.942
1981,"AFG_ARE","AFG","ARE",0,1593,3478787.84,49333424.128,12963.788,1090.66,0.268,45.233,0,0,0,0.942
1982,"AFG_ARE","AFG","ARE",0,1593,4515999.744,46622720,12634.494,1155.765,0.357,40.339,0,0,0,0.942
1983,"AFG_ARE","AFG","ARE",0,1593,3990899.968,42803322.88,12241.928,1215.38,0.326,35.218,0,0,0,0.942
1984,"AFG_ARE","AFG","ARE",0,1593,2624000,41807953.92,11854.205,1277.3,0.221,32.732,0,0,0,0.942
1985,"AFG_ARE","AFG","ARE",0,1599,2503000.064,40603652.096,11528.977,1347.218,0.217,30.139,0,0,0,0.942
1986,"AFG_ARE","AFG","ARE",0,1599,2382000.128,33943611.392,11262.439,1426.915,0.211,23.788,0,0,0,0.942
1987,"AFG_ARE","AFG","ARE",0,1599,NA,36384907.264,11063.107,1514.798,NA,24.02,0,0,0,0.942
1988,"AFG_ARE","AFG","ARE",0,1599,NA,36275675.136,11013.345,1609.17,NA,22.543,0,0,0,0.942
1989,"AFG_ARE","AFG","ARE",0,1599,2600000,41464995.84,11215.323,1707.085,0.232,24.29,0,0,0,0.942
1990,"AFG_ARE","AFG","ARE",0,1603,NA,50701443.072,11731.193,1806.498,NA,28.066,0,0,0,0.942
1991,"AFG_ARE","AFG","ARE",0,1603,NA,51552165.888,12612.043,1908.002,NA,27.019,0,0,0,0.942
1992,"AFG_ARE","AFG","ARE",0,1603,NA,54239170.56,13811.876,2012.977,NA,26.945,0,0,0,0.942
1993,"AFG_ARE","AFG","ARE",0,1603,NA,55625170.944,15175.325,2121.143,NA,26.224,0,0,0,0.942
1994,"AFG_ARE","AFG","ARE",0,1603,NA,59305095.168,16485.018,2232.159,NA,26.568,0,0,0,0.942
1995,"AFG_ARE","AFG","ARE",0,1607,NA,65743667.2,17586.073,2346.305,NA,28.02,0,0,0,0.942
1996,"AFG_ARE","AFG","ARE",0,1607,NA,73571237.888,18415.306,2470.81,NA,29.776,0,0,0,0.942
1997,"AFG_ARE","AFG","ARE",0,1607,NA,78839005.184,19021.227,2608.993,NA,30.218,0,0,0,0.942
1998,"AFG_ARE","AFG","ARE",0,1607,NA,75674337.28,19496.836,2753.498,NA,27.483,0,0,0,0.942
1999,"AFG_ARE","AFG","ARE",0,1607,NA,84445478.912,19987.07,2893.648,NA,29.183,0,0,0,0.942
2000,"AFG_ARE","AFG","ARE",0,1612,NA,104337375.232,20595.36,3026.352,NA,34.476,0,0,0,0.942
2001,"AFG_ARE","AFG","ARE",0,1612,2461666.304,103311646.72,21347.782,3132.104,0.115,32.985,0,0,0,0.942
2002,"AFG_ARE","AFG","ARE",0,1612,4128817.92,109816201.216,22202.806,3223.969,0.186,34.062,0,0,0,0.942
2003,"AFG_ARE","AFG","ARE",0,1612,4583648.768,124346359.808,23116.142,3369.254,0.198,36.906,0,0,0,0.942
2004,"AFG_ARE","AFG","ARE",0,1612,5285462.016,147824377.856,24018.682,3658.658,0.22,40.404,0,0,0,0.942
2005,"AFG_ARE","AFG","ARE",0,1613,6275076.096,180617019.392,24860.855,4148.883,0.252,43.534,0,0,0,0.942
2006,"AFG_ARE","AFG","ARE",0,1613,7057597.44,222105927.68,25631.283,4875.639,0.275,45.554,0,0,0,0.942
2007,"AFG_ARE","AFG","ARE",0,1613,9843851.264,257916141.568,26349.243,5797.347,0.374,44.489,0,0,0,0.942
2008,"AFG_ARE","AFG","ARE",0,1613,10190534.656,315474640.896,27032.198,6798.635,0.377,46.403,0,0,0,0.942
2009,"AFG_ARE","AFG","ARE",0,1613,12486950.912,253547462.656,27708.187,7718.319,0.451,32.85,0,0,0,0.942
2010,"AFG_ARE","AFG","ARE",0,1608,15936784.384,286049304.576,28397.812,8441.537,0.561,33.886,0,0,0,0.942
2011,"AFG_ARE","AFG","ARE",0,1608,17870159.872,347454046.208,29105.48,8925.096,0.614,38.93,0,0,0,0.942
2012,"AFG_ARE","AFG","ARE",0,1608,20506796.032,372313980.928,29824.535,9205.651,0.688,40.444,0,0,0,0.942
2013,"AFG_ARE","AFG","ARE",0,1608,20309671.936,402340118.528,30551.674,9346.129,0.665,43.049,0,0,0,0.942
2014,"AFG_ARE","AFG","ARE",0,1608,20050190.336,403197689.856,32758.018,9070.867,0.612,44.45,0,0,0,0.942
2015,"AFG_ARE","AFG","ARE",0,1603,19702986.752,357949210.624,33736.492,9154.302,0.584,39.102,0,0,0,0.942
2016,"AFG_ARE","AFG","ARE",0,1603,19469021.184,348743270.4,34656.033,9269.612,0.562,37.622,0,0,0,0.942
2017,"AFG_ARE","AFG","ARE",0,1603,18753469.63,385605506.855,36296.112,9487.206,0.517,40.645,0,0,0,0.942
2018,"AFG_ARE","AFG","ARE",0,1603,18053228.579,422215043.585,37171.921,9630.966,0.486,43.839,0,0,0,0.942
2019,"AFG_ARE","AFG","ARE",0,1603,18799450.743,417215559.513,38041.756,9770.526,0.494,42.701,0,0,0,0.942
2020,"AFG_ARE","AFG","ARE",0,1598,20116137.326,358868765.175,38928.341,9890.4,0.517,36.285,0,0,0,0.942
2021,"AFG_ARE","AFG","ARE",0,1598,NA,NA,39835.426,9991.083,NA,NA,0,0,0,0.942
1948,"AFG_IND","AFG","IND",0,1769,NA,NA,NA,350000,NA,NA,0,0,0,0.115
1949,"AFG_IND","AFG","IND",0,1769,NA,20593000.448,NA,355000,NA,0.058,0,0,0,0.115
1950,"AFG_IND","AFG","IND",0,1769,NA,19986999.296,8150.368,359000,NA,0.056,0,0,0,0.115
1951,"AFG_IND","AFG","IND",0,1769,NA,20814000.128,8284.472,365000,NA,0.057,0,0,0,0.115
1952,"AFG_IND","AFG","IND",0,1769,NA,20447000.576,8425.333,372000,NA,0.055,0,0,0,0.115
1953,"AFG_IND","AFG","IND",0,1769,NA,21919000.576,8573.216,379000,NA,0.058,0,0,0,0.115
1954,"AFG_IND","AFG","IND",0,1769,NA,20141000.704,8728.408,386000,NA,0.052,0,0,0,0.115
1955,"AFG_IND","AFG","IND",0,1756,NA,21475999.744,8891.209,393000,NA,0.055,0,0,0,0.115
1956,"AFG_IND","AFG","IND",0,1756,1110000,24611999.744,9061.938,401000,0.122,0.061,0,0,0,0.115
1957,"AFG_IND","AFG","IND",0,1756,1140000,24996999.168,9240.933,409000,0.123,0.061,0,0,0,0.115
1958,"AFG_IND","AFG","IND",0,1756,1170000,28153999.36,9428.555,418000,0.124,0.067,0,0,0,0.115
1959,"AFG_IND","AFG","IND",0,1756,1204999.936,29268000.768,9624.606,426000,0.125,0.069,0,0,0,0.115
1960,"AFG_IND","AFG","IND",0,1744,537777.792,37679276.032,8774.44,449595.49,0.061,0.084,0,0,0,0.115
1961,"AFG_IND","AFG","IND",0,1744,548888.896,39920451.584,8953.544,458626.678,0.061,0.087,0,0,0,0.115
1962,"AFG_IND","AFG","IND",0,1744,546666.688,42900865.024,9141.783,467962.158,0.06,0.092,0,0,0,0.115
1963,"AFG_IND","AFG","IND",0,1744,751111.168,49271095.296,9339.507,477615.997,0.08,0.103,0,0,0,0.115
1964,"AFG_IND","AFG","IND",0,1744,800000.064,57470779.392,9547.131,487607.391,0.084,0.118,0,0,0,0.115
1965,"AFG_IND","AFG","IND",0,1733,1006666.624,60599263.232,9765.015,497952.332,0.103,0.122,0,0,0,0.115
1966,"AFG_IND","AFG","IND",0,1733,1400000,46669803.52,9990.125,508656.25,0.14,0.092,0,0,0,0.115
1967,"AFG_IND","AFG","IND",0,1733,1673333.376,51014156.288,10221.902,519722.229,0.164,0.098,0,0,0,0.115
1968,"AFG_IND","AFG","IND",0,1733,1373333.376,54016413.696,10465.77,531161.011,0.131,0.102,0,0,0,0.115
1969,"AFG_IND","AFG","IND",0,1733,1408888.96,59472994.304,10729.191,542983.948,0.131,0.11,0,0,0,0.115
1970,"AFG_IND","AFG","IND",0,1727,1748886.656,63517184,11015.621,555199.768,0.159,0.114,0,0,0,0.115
1971,"AFG_IND","AFG","IND",0,1727,1831108.992,68532273.152,11323.446,567805.054,0.162,0.121,0,0,0,0.115
1972,"AFG_IND","AFG","IND",0,1727,1595555.456,72716599.296,11644.377,580798.767,0.137,0.125,0,0,0,0.115
1973,"AFG_IND","AFG","IND",0,1727,1733333.248,87014948.864,11966.352,594192.993,0.145,0.146,0,0,0,0.115
1974,"AFG_IND","AFG","IND",0,1727,2155555.584,101271486.464,12273.589,608002.563,0.176,0.167,0,0,0,0.115
1975,"AFG_IND","AFG","IND",0,1712,2366666.496,100199514.112,12551.79,622232.361,0.189,0.161,0,0,0,0.115
1976,"AFG_IND","AFG","IND",0,1712,2555555.584,104518115.328,12806.81,636883.728,0.2,0.164,0,0,0,0.115
1977,"AFG_IND","AFG","IND",0,1712,2953333.504,123617837.056,13034.46,651935.12,0.227,0.19,0,0,0,0.115
1978,"AFG_IND","AFG","IND",0,1712,3300000,139708694.528,13199.597,667339.05,0.25,0.209,0,0,0,0.115
1979,"AFG_IND","AFG","IND",0,1712,3697940.224,155674329.088,13257.128,683032.532,0.279,0.228,0,0,0,0.115
1980,"AFG_IND","AFG","IND",0,1698,3641723.392,189594124.288,13180.431,698965.576,0.276,0.271,0,0,0,0.115
1981,"AFG_IND","AFG","IND",0,1698,3478787.84,196883480.576,12963.788,715105.164,0.268,0.275,0,0,0,0.115
1982,"AFG_IND","AFG","IND",0,1698,4515999.744,204234358.784,12634.494,731443.726,0.357,0.279,0,0,0,0.115
1983,"AFG_IND","AFG","IND",0,1698,3990899.968,222090280.96,12241.928,747986.267,0.326,0.297,0,0,0,0.115
1984,"AFG_IND","AFG","IND",0,1698,2624000,215878238.208,11854.205,764749.39,0.221,0.282,0,0,0,0.115
1985,"AFG_IND","AFG","IND",0,1685,2503000.064,236589105.152,11528.977,781736.511,0.217,0.303,0,0,0,0.115
1986,"AFG_IND","AFG","IND",0,1685,2382000.128,253352443.904,11262.439,798941.772,0.211,0.317,0,0,0,0.115
1987,"AFG_IND","AFG","IND",0,1685,NA,283926986.752,11063.107,816328.796,NA,0.348,0,0,0,0.115
1988,"AFG_IND","AFG","IND",0,1685,NA,301790953.472,11013.345,833833.496,NA,0.362,0,0,0,0.115
1989,"AFG_IND","AFG","IND",0,1685,2600000,301233733.632,11215.323,851374.695,0.232,0.354,0,0,0,0.115
1990,"AFG_IND","AFG","IND",0,1672,NA,326608027.648,11731.193,868890.686,NA,0.376,0,0,0,0.115
1991,"AFG_IND","AFG","IND",0,1672,NA,274842353.664,12612.043,886348.694,NA,0.31,0,0,0,0.115
1992,"AFG_IND","AFG","IND",0,1672,NA,293262360.576,13811.876,903749.634,NA,0.324,0,0,0,0.115
1993,"AFG_IND","AFG","IND",0,1672,NA,284193718.272,15175.325,921107.544,NA,0.309,0,0,0,0.115
1994,"AFG_IND","AFG","IND",0,1672,NA,333014466.56,16485.018,938452.576,NA,0.355,0,0,0,0.115
1995,"AFG_IND","AFG","IND",0,1653,NA,366599634.944,17586.073,955804.382,NA,0.384,0,0,0,0.115
1996,"AFG_IND","AFG","IND",0,1653,NA,399786901.504,18415.306,973147.583,NA,0.411,0,0,0,0.115
1997,"AFG_IND","AFG","IND",0,1653,NA,423160414.208,19021.227,990460.144,NA,0.427,0,0,0,0.115
1998,"AFG_IND","AFG","IND",0,1653,NA,428741033.984,19496.836,1007746.582,NA,0.425,0,0,0,0.115
1999,"AFG_IND","AFG","IND",0,1653,NA,466867093.504,19987.07,1025014.771,NA,0.455,0,0,0,0.115
2000,"AFG_IND","AFG","IND",0,1633,NA,476609150.976,20595.36,1042261.719,NA,0.457,0,0,0,0.115
2001,"AFG_IND","AFG","IND",0,1633,2461666.304,493954334.72,21347.782,1059500.854,0.115,0.466,0,0,0,0.115
2002,"AFG_IND","AFG","IND",0,1633,4128817.92,523968577.536,22202.806,1076705.688,0.186,0.487,0,0,0,0.115
2003,"AFG_IND","AFG","IND",0,1633,4583648.768,618356473.856,23116.142,1093786.743,0.198,0.565,0,0,0,0.115
2004,"AFG_IND","AFG","IND",0,1633,5285462.016,721585635.328,24018.682,1110626.099,0.22,0.65,0,0,0,0.115
2005,"AFG_IND","AFG","IND",0,1630,6275076.096,834215018.496,24860.855,1127143.555,0.252,0.74,0,0,0,0.115
2006,"AFG_IND","AFG","IND",0,1630,7057597.44,949116796.928,25631.283,1143289.307,0.275,0.83,0,0,0,0.115
2007,"AFG_IND","AFG","IND",0,1630,9843851.264,1238700130.304,26349.243,1159095.215,0.374,1.069,0,0,0,0.115
2008,"AFG_IND","AFG","IND",0,1630,10190534.656,1224097005.568,27032.198,1174662.354,0.377,1.042,0,0,0,0.115
2009,"AFG_IND","AFG","IND",0,1630,12486950.912,1365372436.48,27708.187,1190138.062,0.451,1.147,0,0,0,0.115
2010,"AFG_IND","AFG","IND",0,1637,15936784.384,1708458901.504,28397.812,1205624.634,0.561,1.417,0,0,0,0.115
2011,"AFG_IND","AFG","IND",0,1637,17870159.872,1880100175.872,29105.48,1221156.372,0.614,1.54,0,0,0,0.115
2012,"AFG_IND","AFG","IND",0,1637,20506796.032,1858744745.984,29824.535,1236686.768,0.688,1.503,0,0,0,0.115
2013,"AFG_IND","AFG","IND",0,1637,20309671.936,1876797161.472,30551.674,1252139.648,0.665,1.499,0,0,0,0.115
2014,"AFG_IND","AFG","IND",0,1637,20050190.336,2035393495.04,32758.018,1293859.253,0.612,1.573,0,0,0,0.115
2015,"AFG_IND","AFG","IND",0,1647,19702986.752,2111751061.504,33736.492,1309053.955,0.584,1.613,0,0,0,0.115
2016,"AFG_IND","AFG","IND",0,1647,19469021.184,2263522476.032,34656.033,1324171.387,0.562,1.709,0,0,0,0.115
2017,"AFG_IND","AFG","IND",0,1647,18753469.63,2651472946.375,36296.112,1338676.758,0.517,1.981,0,0,0,0.115
